1820,18828470,"Girl's dream room w/Cats! Shibuya, Sangenjaya area",41038761,Nami,,Setagaya Ku,35.64917,139.65629,Private room,7014,3,31,18/07/2019,1.45,2,157
2097,20182174,ã€bonhouseã€‘TATAMI/Free Wi-Fi/NARITA&HANEDA About 1h,17751737,Tommy,,Katsushika Ku,35.73565,139.84849,Private room,3884,1,58,21/09/2019,2.24,1,61
2197,20640764,1min to Sensoji Temple(æµ…è‰å¯º)! 4ppl PRIVATE ROOM/4B,147447077,Khaosan Tokyo Origami,,Taito Ku,35.7153,139.79838,Private room,18451,1,1,05/07/2018,0.07,18,108
3895,25443969,Niijima Japanese Style Guest House RoomC,181443037,Uego,,Niijima Mura,34.37632,139.2554,Private room,10035,1,26,07/09/2019,1.71,3,30
2260,20698927,[ASAKUSA]2ppl PRIVATE ROOM/NEAR SENSOJI/Twin,147447077,Khaosan Tokyo Origami,,Taito Ku,35.71744,139.79642,Private room,9172,1,0,,,18,103
103,4471640,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(1)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.75653,139.47912,Private room,3669,4,11,08/06/2019,0.19,3,199
377,8297870,Room available in Brand New House,7212968,Jason,,Toshima Ku,35.7427,139.71026,Private room,4316,3,67,02/09/2019,1.6,2,123
3167,23361617,"Access good for Shibuya , Shinjuku!(High class)",66680305,é‚¦æ˜Ž,,Setagaya Ku,35.66335,139.67331,Private room,7553,3,50,13/09/2019,2.67,2,31
146,5111244,Good access to Shinjuku & Nakano,26407522,Yoko,,Nakano Ku,35.72112,139.66641,Private room,3237,2,147,03/06/2019,2.77,5,0
9476,33950664,"4-min to bus st. for Asakusa, own 1K, New Bldg!(B)",203690845,Kiyoshi,,Sumida Ku,35.72498,139.81175,Private room,10035,1,1,17/07/2019,0.41,7,45
5387,28233271,NEWOPEN ! Discount !SHIMOKITA JAPAN ROOM (OSENBEI),111667065,Mai,,Setagaya Ku,35.66297,139.66812,Private room,10035,2,39,15/09/2019,3.64,4,131
7603,31295478,ä¼çµ±çš„ãªæ—¥æœ¬ç•³éƒ¨å±‹,221133218,Wei,,Katsushika Ku,35.7458,139.8826,Private room,7014,2,1,04/04/2019,0.17,6,305
1912,19321986,6min Sta.&30min Ikebukuroâ™ªSemi-double bedâ˜†G91-9,75820284,GG House,,Itabashi Ku,35.78983,139.64417,Private room,1187,30,4,31/03/2019,0.17,67,75
10094,34721056,Family Room Sheared Bathroom (#401)*Breakfast free,258131576,Wired Hotel,,Taito Ku,35.71639,139.79477,Private room,36039,1,0,,,6,240
928,13702035,ë„ì¿„ ë©”ì£¤íŒ¨ë°€ë¦¬ì•„(2ì¸ì‹¤A 5000ì—”)2 People RoomA/ì´ì„±ì»¤í”Œ ì˜ˆì•½ë¶ˆê°€,76295902,ì •ì •ë¡€,,Suginami Ku,35.6983,139.65024,Private room,6042,2,17,16/09/2019,1.84,11,203
4558,26850139,ã€Walking distance to Tsukiji and Ginzaã€‘ Air conditioning Â· Free Wi-Fi available! ã€Deluxe Single Roomã€‘,201942933,å¤‰ãªï¾Žï¾ƒï¾™æ±äº¬ éŠ€åº§,,Chuo Ku,35.66983,139.77481,Private room,19962,1,3,13/02/2019,0.24,3,256
2694,21730782,"Shinjuku, Nakano Tokyo & stay with Toy Museum !",157645604,Yoshiaki,,Nakano Ku,35.71775,139.6727,Private room,8848,1,75,24/09/2019,3.54,2,147
7218,30798948,B&B 100 Years Old Japanese-style House in OumÃ©,230416584,Toshihiro,,Ome Shi,35.83243,139.26455,Private room,4963,1,10,27/09/2019,1.83,1,77
